title,authors,year,citations,citations.per.yr
Biomedical Image Analysis Recipes in MATLAB(R): For Life Scientists and Engineers,"ReyesAldasoro, CC",2015,5,1
In Search of R.B. Bennett,"Waite, PB",2012,5,0.63
Captain John R. Hughes: Lone Star Ranger,"Parsons, C",2011,5,0.56
"R for SAS and SPSS Users, Second Edition","Muenchen, RA",2011,5,0.56
Speech and Audio Processing: A MATLAB (R)-Based Approach,"McLoughlin, IV",2016,4,1
Modeling of Digital Communication Systems Using SIMULINK(R),"Giordano, AA; Levesque, AH",2015,4,0.8
R by Example,"Albert, Jim; Rizzo, Maria",2012,4,0.5
Beginner's Guide to R,"Zuur, AF; Ieno, EN; Meesters, EHWG",2009,4,0.36
"On World Politics: R G Collingwood, Michael Oakeshott and Neotraditionalism in International Relations","Astrov, A",2005,4,0.27
Statistical Analysis of Network Data with R,"Kolaczyk, ED; Csardi, G",2014,3,0.5
Hidden Markov Models for Time Series: An Introduction Using R,"Zucchini, W; MacDonald, IL",2009,3,0.27
"Real-Time Digital Signal Processing from MATLAB (R) to C with the TMS320C6x DSPs, 3rd Edition","Welch, TB; Wright, CHG; Morrow, MG",2017,2,0.67
"Analysis and Identification of Time-Invariant Systems, Time-Varying Systems, and Multi-Delay Systems using Orthogonal Hybrid Functions: Theory and Algorithms with MATLAB(R)","Deb, A; Roychoudhury, S; Sarkar, G",2016,2,0.5
Strategic Alliances for Innovation and R&D,,2014,2,0.33
Getting Started with R: An Introduction for Biologists,"Beckerman, AP; Petchey, OL",2012,2,0.25
J.R.R. Tolkiens Double Worlds and Creative Process: Language and Life,"Zettersten, A",2011,2,0.22
Opening the Tablet Box: Near Eastern Studies in Honor of Benjamin R. Foster,,2010,2,0.2
F R Leavis,"Storer, R",2009,2,0.18
"Dislocations in Solids: A Tribute to F. R. N. Nabarro, Vol 14",,2008,2,0.17
"Numerical Methods for Engineers and Scientists Using MATLAB(R), 2nd Edition","Esfandiari, RS",2017,1,0.33
"Applied Mathematics for the Analysis of Biomedical Data : Models, Methods, and MATLAB (R)","Costa, PJ",2017,1,0.33
Statistical Rethinking: A Bayesian Course with Examples in R and Stan,"McElreath, R",2016,1,0.25
Adaptive Filtering: Fundamentals of Least Mean Squares with MATLAB(R),"Poularikas, AD",2015,1,0.2
Quantitative Trading with R: Understanding Mathematical and Computational Tools from a Quant's Perspective,"Georgakopoulos, H",2015,1,0.2
Multistate Analysis of Life Histories with R,"Willekens, F",2014,1,0.17
"Statistical Analysis of Financial Data in R, 2nd Edition","Carmona, R",2014,1,0.17
On the Writing of New Testament Commentaries: Festschrift for Grant R. Osborne on the Occasion of his 70th Birthday,,2013,1,0.14
Egyptian Colloquial Poetry in the Modern Arabic Canon: New Readings of Shi'r al-'Ammiyya,"Radwan, NM",2012,1,0.13
Modeling and Simulation in Ecotoxicology with Applications in MATLAB(R) and Simulink(R),"Dixon, KR",2012,1,0.13
Computer Simulation and Data Analysis in Molecular Biology and Biophysics: An Introduction Using R,"Bloomfield, V",2009,1,0.09
Primer of Ecology with R,"Stevens, MHH",2009,1,0.09
R and D and Licensing: Building Value Through Intellectual Assets,"Comerford, K",2007,1,0.08
"Classical Mechanics with Mathematica(R), 2nd Edition","Romano, A; Marasco, A",2018,0,0
"T.R.M. Howard: Doctor, Entrepreneur, Civil Rights Pioneer","Beito, DT; Beito, LR",2018,0,0
"Quantitative Corpus Linguistics with R: A Practical Introduction, 2nd Edition","Gries, ST",2017,0,0
"Bayesian Models for Astrophysical Data: Using R, JAGS, Python, and Stan","Hilbe, JM; DeSouza, RS; Ishida, EEO",2017,0,0
Quantitative Methods in Archaeology Using R,"Carlson, DL",2017,0,0
Mathematical Validity of the f(R) Theory of Modified Gravity,"LeFloch, PG; Ma, Y",2017,0,0
Heart Rate Variability Analysis with the R Package RHRV,"Martinez, CAG; Quintana, AO; Vila, XA; Tourino, MJL; RodriguezLinares, L; Presedo, JMR; Penin, AJM",2017,0,0
Suuriruhtinaskunnan Etuvartiossa: Ministervaltiosihteeri R H Rehbinder Soumen Etujen Puolustajana Pietarissa 1811-1841,"Kalleinen, Kristiina",2017,0,0
"Encyclopedia of Spectroscopy and Spectrometry, 3rd Edition, Vol 3: N-R",,2017,0,0
Contemporary Meanings of John R. Commons's Institutional Economics: An Analysis Using a Newly Discovered Manuscript,,2017,0,0
Data Analysis for the Life Sciences with R,"Irizarry, RA; Love, MI",2017,0,0
Processing of Hyperspectral Medical Images: Applications in Dermatology Using MATLAB (R),"Koprowski, R",2017,0,0
Stress Testing and Risk Integration in Banks: A Statistical Framework and Practical Software Guide (in Matlab and R),"Bellini, T",2017,0,0
Comparative Approaches to Using R and Python for Statistical Data Analysis,"Sarmento, R; Costa, V",2017,0,0
"Granular, Soft and Fuzzy Approaches for Intelligent Systems: Dedicated to Professor Ronald R. Yager",,2017,0,0
Navelbine and Taxotere (R): Histories of Sciences,"LeRoux, M; Gueritte, F",2017,0,0
R A C E Mentoring Through Social Media: Black and Hispanic Scholars Share Their Journey in the Academy,,2017,0,0
Simulation Physikalischer Systeme: Computational Physics mit MATLAB (R),"Schweizer, W",2017,0,0
"Getting Started with R: An Introduction for Biologists, 2nd Edition","Beckerman, AP; Childs, DZ; Petchey, OL",2017,0,0
Nationalism and Imperialism in South and Southeast Asia: Essays Presented to Damodar R. SarDesai,,2017,0,0
Extending R,"Chambers, JM",2016,0,0
System Dynamics Modeling with R,"Duggan, J",2016,0,0
Matrix Algorithms in MATLAB (R),"Routh, OU",2016,0,0
Companion to Gerald R. Ford and Jimmy Carter,,2016,0,0
Educational Data Mining with R and Rattle,"Kamath, RS; Kamat, RK",2016,0,0
Image Analysis for Ophthalmological Diagnosis: Image Processing of Corvis(R) ST Images Using Matlab(R),"Koprowski, R",2016,0,0
"Acoustics, Information, and Communication: Memorial Volume in Honor of Manfred R. Schroeder",,2015,0,0
World of St. Francis of Assisi: Essays in Honor of William R. Cook,,2015,0,0
New Statistics with R: An Introduction for Biologists,"Hector, A",2015,0,0
R and MATLAB,"Hiebeler, DE",2015,0,0
"Reproducible Research with R and RStudio, 2nd Edition","Gandrud, C",2015,0,0
"Statistical Analysis and Data Display: An Intermediate Course with Examples in R, 2nd Edition","Heiberger, RM; Holland, B",2015,0,0
"Statistics and Data Analysis for Financial Engineering: with R Examples, 2nd Edition","Ruppert, D; Matteson, DS",2015,0,0
Power Electronic Systems: Walsh Analysis with MATLAB(R),"Deb, A; Ghosh, S",2014,0,0
"Building Bioinformatics Solutions with Perl, R, and SQL, 2nd Edition","Bessant, C; Oakley, D; Shadforth, I",2014,0,0
Companion to J. R. R. Tolkien,,2014,0,0
"Using R for Introductory Statistics, 2nd Edition","Verzani, J",2014,0,0
R Software: Fundamentals of Programming and Statistical Analysis,"DeMicheaux, PL; Drouilhet, R; Liquet, B",2013,0,0
Astrophysics through Computation: With Mathematica(R) Support,"Koberlein, B; Meisel, D",2013,0,0
Applied Bayesian Statistics: With R and OpenBUGS Examples,"Cowles, MK",2013,0,0
Gerald R. Ford: An Honorable Life,"Cannon, J",2013,0,0
Introduction to Finite Element Analysis Using MATLAB(R) and Abaqus,"Khennane, A",2013,0,0
"Medical Device R&D Handbook, 2nd Edition",,2013,0,0
Statistical Methods for Hospital Monitoring with R,"Morton, A; Mengersen, K; Whitby, M; Playford, G",2013,0,0
Waterborne Pageants and Festivities in the Renaissance: Essays in Honour of J.R. Mulryne,,2013,0,0
"William R. Freudenburg, A Life in Social Research",,2013,0,0
Medieval Poetics and Social Practice: Responding to the Work of Penn R. Szittya,,2012,0,0
Two-Way Analysis of Variance: Statistical Tests and Graphics Using R,"MacFarland, TW",2012,0,0
Essays in Honor of James R. Webb,,2011,0,0
Materials Needs and R&D Strategy for Future Military Aerospace Propulsion Systems,,2011,0,0
MATLAB(R) in Bioscience and Biotechnology,"Burstein, L",2011,0,0
Outsourcing Biopharma R&D to India,"Chowdhury, PR",2011,0,0
MATLAB(R) and C Programming for Trefftz Finite Element Methods,"Qin, QH; Wang, H",2010,0,0
Assessing the Impacts of Changes in the Information Technology R&D Ecosystem: Retaining Leadership in an Increasingly Global Environment,,2009,0,0
"Bayesian Computation with R, Second Edition","Albert, J",2009,0,0
Combinatorial Pattern Matching Algorithms in Computational Biology Using Perl and R,"Valiente, G",2009,0,0
Dynamic Linear Models with R,"Petris, G; Petrone, S; Campagnoli, P",2009,0,0
Functional Data Analysis with R and MATLAB,"Ramsay, JO; Hooker, G; Graves, S",2009,0,0
Guide to QTL Mapping with R/qtl,"Broman, KW; Sen, S",2009,0,0
Introductory Time Series with R,"Cowpertwait, PSP; Metcalfe, AV",2009,0,0
Modern Approach to Regession with R,"Sheather, SJ",2009,0,0
R for SAS and SPSS Users,"Muenchen, RA",2009,0,0
"R Through Excel: A Spreadsheet Interface for Statistics, Data Analysis, and Graphics","Heiberger, RM; Neuwirth, E",2009,0,0
Signals and Systems with MATLAB (R),"Yang, WY; Chang, TG; Song, IH; Cho, YS; Heo, J; Jeon, WG; Lee, JW; Kim, JK",2009,0,0
"Analysis of Integrated and Cointegrated Time Series with R, Second Edition","Pfaff, B",2008,0,0
Applied Econometrics with R,"Kleiber, C; Zeileis, A",2008,0,0
Applied Spatial Data Analysis with R,"Bivand, RS; Pebesma, EJ; GomezRubio, V",2008,0,0
Data Manipulation with R,"Spector, P",2008,0,0
Fuller Houses: R. Buckminster Fuller's Dymaxion Dwellings and Other Domestic Adventures,"Neder, F",2008,0,0
Introduction to Probability with R,"Baclawski, K",2008,0,0
"Introductory Statistics With R, Second Edition","Dalgaard, P",2008,0,0
Lattice: Multivariate Data Visualization with R,"Sarkar, D",2008,0,0
Nonlinear Regression with R,"Ritz, C; Streibig, JC",2008,0,0
Simulation and Inference for Stochastic Differential Equations: With R Examples,"Iacus, SM",2008,0,0
Software for Data Analysis: Programming with R,"Chambers, JM",2008,0,0
Statistical Methods for Environmental Epidemiology with R: A Case Study in Air Pollution and Health,"Peng, RD; Dominici, F",2008,0,0
"Time Series Analysis: With Applications in R, Second Edition","Cryer, JD; Chan, KS",2008,0,0
Wavelet Methods in Statistics with R,"Nason, GP",2008,0,0
First Ten K R Narayanan Orations: Essays by Eminent Persons on the Rapidly Transforming Indian Economy,,2006,0,0
